event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2024-01-01T08:00:00.000000,view,89347,1005,apparel.shoes,lg,102.51,100591,2f75c612-4b07-45e5-8272-15b8c825dd88
2024-01-01T08:00:26.000000,view,89347,1005,apparel.shoes,lg,102.51,100591,2f75c612-4b07-45e5-8272-15b8c825dd88
2024-01-01T08:00:50.000000,view,89347,1005,apparel.shoes,lg,102.51,100591,2f75c612-4b07-45e5-8272-15b8c825dd88
2024-01-01T08:01:29.000000,view,89347,1005,apparel.shoes,lg,102.51,100591,2f75c612-4b07-45e5-8272-15b8c825dd88
2024-01-01T09:00:00.000000,view,75657,1003,appliances.kitchen.refrigerators,xiaomi,541.39,100909,04444c42-ce6b-45ac-9509-5f4b12951d48
2024-01-01T09:02:25.000000,view,75657,1003,appliances.kitchen.refrigerators,xiaomi,541.39,100909,04444c42-ce6b-45ac-9509-5f4b12951d48
2024-01-01T09:05:19.000000,view,75657,1003,appliances.kitchen.refrigerators,xiaomi,541.39,100909,04444c42-ce6b-45ac-9509-5f4b12951d48
2024-01-01T10:00:00.000000,view,94855,1005,apparel.shoes,samsung,174.87,100563,8c897255-93de-4700-8a11-f48a184a78be
2024-01-01T10:00:00.000000,view,62971,1005,apparel.shoes,nike,79.1,100872,99988c38-e6b9-4ace-832c-8374f92ef04b
2024-01-01T10:00:00.000000,view,82337,1002,electronics.audio.headphone,xiaomi,151.9,100905,af267f96-5ce7-4a21-8e66-015d37f6ad05
2024-01-01T10:00:37.000000,view,94855,1005,apparel.shoes,samsung,174.87,100563,8c897255-93de-4700-8a11-f48a184a78be
2024-01-01T10:01:08.000000,view,94855,1005,apparel.shoes,samsung,174.87,100563,8c897255-93de-4700-8a11-f48a184a78be
2024-01-01T10:01:58.000000,view,94855,1005,apparel.shoes,samsung,174.87,100563,8c897255-93de-4700-8a11-f48a184a78be
2024-01-01T10:03:02.000000,cart,94855,1005,apparel.shoes,samsung,174.87,100563,8c897255-93de-4700-8a11-f48a184a78be
2024-01-01T10:04:10.000000,purchase,94855,1005,apparel.shoes,samsung,174.87,100563,8c897255-93de-4700-8a11-f48a184a78be
2024-01-01T11:00:00.000000,view,77637,1001,electronics.smartphone,apple,294.59,100930,e8eb36d5-3e46-4096-a49e-31d1f459328b
2024-01-01T11:00:38.000000,view,77637,1001,electronics.smartphone,apple,294.59,100930,e8eb36d5-3e46-4096-a49e-31d1f459328b
2024-01-01T11:02:18.000000,view,77637,1001,electronics.smartphone,apple,294.59,100930,e8eb36d5-3e46-4096-a49e-31d1f459328b
2024-01-01T14:00:00.000000,view,67932,1001,electronics.smartphone,bosch,712.02,100549,c0af40b2-144c-438e-abbd-b27b9d5d65bf
2024-01-01T14:00:14.000000,view,67932,1001,electronics.smartphone,bosch,712.02,100549,c0af40b2-144c-438e-abbd-b27b9d5d65bf
2024-01-01T14:02:32.000000,view,67932,1001,electronics.smartphone,bosch,712.02,100549,c0af40b2-144c-438e-abbd-b27b9d5d65bf
2024-01-01T14:05:25.000000,view,67932,1001,electronics.smartphone,bosch,712.02,100549,c0af40b2-144c-438e-abbd-b27b9d5d65bf
2024-01-01T15:00:00.000000,view,53525,1002,electronics.audio.headphone,lg,295.39,100753,80dcf67b-53c5-42ac-9945-97d5d3337b26
2024-01-01T15:01:07.000000,view,53525,1002,electronics.audio.headphone,lg,295.39,100753,80dcf67b-53c5-42ac-9945-97d5d3337b26
2024-01-01T15:02:34.000000,cart,53525,1002,electronics.audio.headphone,lg,295.39,100753,80dcf67b-53c5-42ac-9945-97d5d3337b26
2024-01-01T17:00:00.000000,view,73788,1001,electronics.smartphone,apple,1072.66,100008,187f216c-5335-4cef-985d-72cc2616b4c1
2024-01-01T17:01:11.000000,view,73788,1001,electronics.smartphone,apple,1072.66,100008,187f216c-5335-4cef-985d-72cc2616b4c1
2024-01-01T17:01:35.000000,view,73788,1001,electronics.smartphone,apple,1072.66,100008,187f216c-5335-4cef-985d-72cc2616b4c1
2024-01-01T19:03:18.000000,view,90100,1002,electronics.audio.headphone,bosch,117.08,100591,67cedf63-aecc-4035-8c79-1fb8e4585104
2024-01-01T20:00:00.000000,view,57517,1006,auto.accessories,samsung,24.06,100390,308a7515-a561-4187-a029-f26e012468f1
2024-01-01T20:02:44.000000,view,57517,1006,auto.accessories,samsung,24.06,100390,308a7515-a561-4187-a029-f26e012468f1
